x_uav,y_uav,z_uav,velocity_x,velocity_y,velocity_z,snr,aoa,aod,wind_speed,wind_direction,battery_level,mission_type,target_next_x,target_next_y,target_next_z,target_next_velocity_x,target_next_velocity_y,target_next_velocity_z,target_optimal_beam_strength,target_energy_consumption,target_flight_stability,target_communication_quality
-71.86403,368.277636,82.642401,3.002918,1.212045,0.323704,-10.0,-13.627584,-6.951335,6.827384,61.017389,94.970167,0,-68.849564,369.449235,82.992541,3.01319,1.386535,0.430324,0.0,1.076935,0.614129,0.0
-68.853895,369.543746,82.881532,3.010135,1.26611,0.239131,-10.0,-9.081492,-3.675887,4.04252,184.083264,94.706451,0,-65.834952,370.752227,83.083144,3.043139,1.094924,0.235168,0.0,1.092109,0.68428,0.0
-66.199236,371.030408,83.08398,2.654659,1.486662,0.202448,-10.0,-16.029323,-0.397316,1.518206,277.197679,94.453985,0,-63.476405,372.558507,83.286806,2.743074,1.696265,0.139591,0.0,1.082233,0.720039,0.0
-64.196894,373.676618,83.209842,2.002342,2.64621,0.125862,-10.0,-9.837996,-4.234905,2.578165,197.721599,94.187946,0,-62.102366,376.286291,83.303706,1.954863,3.020611,0.123918,0.0,1.122682,0.658821,0.0
-61.954927,374.61179,83.146893,2.241967,0.935172,-0.062949,-10.0,-3.376967,0.467387,9.115701,134.860541,93.966446,0,-59.723082,375.550007,83.100124,2.267186,0.555697,0.065105,0.0,1.044678,0.63113,0.0
-59.416436,376.692192,83.434257,2.538491,2.080402,0.287364,-10.0,-6.758654,-10.325777,3.060968,70.484809,93.701714,0,-56.89572,378.820196,83.757936,2.610894,2.196665,0.224394,0.0,1.144377,0.835102,0.0
-57.68138,377.950424,83.390058,1.735056,1.258232,-0.044199,-10.0,-10.12543,-11.64176,1.886819,309.028591,93.494528,0,-55.945716,379.255204,83.332779,1.924885,1.210388,0.041198,0.0,1.039645,0.739736,0.0
-54.745272,380.736879,83.229982,2.936108,2.786455,-0.160076,-10.0,-9.651705,-13.875826,2.307723,242.106644,93.191977,0,-51.720642,383.507879,83.090001,3.058877,3.058031,-0.203406,0.0,1.245502,0.770298,0.0
-52.444171,383.664037,83.329275,2.301101,2.927158,0.099293,-10.0,-1.607414,-3.128161,1.895623,279.77289,92.905743,0,-50.177188,386.588785,83.460347,2.455273,3.025695,0.10818,0.0,1.22718,0.611652,0.0
-50.870722,386.333122,83.532466,1.573449,2.669085,0.203191,-10.0,1.591067,2.758316,6.572169,26.566763,92.650493,0,-49.204275,389.062227,83.781058,1.551262,2.864347,0.057906,0.0,1.177976,0.791979,0.0
-49.927344,389.373835,83.352299,0.943378,3.040713,-0.180167,-10.0,0.379805,3.61642,0.432209,246.503222,92.391054,0,-48.987647,392.400437,83.179519,0.723909,3.108898,-0.188808,0.0,1.199326,0.801983,0.0
-49.660763,391.525458,83.503215,0.266581,2.151623,0.150916,-10.0,-4.165389,-14.898187,3.192114,292.644363,92.182388,0,-49.367408,393.730103,83.692666,0.101002,2.09085,0.17515,0.0,1.108213,0.95833,0.0
-47.524343,394.284067,83.895563,2.13642,2.758609,0.392348,-10.0,0.486604,-2.366264,6.748604,48.245482,91.906831,0,-45.474467,397.114892,84.310063,2.109004,2.798635,0.175262,0.0,1.255773,0.660435,0.0
-45.808107,397.187709,84.04176,1.716236,2.903642,0.146197,-10.0,2.323137,-5.128665,5.841467,165.288872,91.638027,0,-44.095636,400.036289,84.20015,1.86571,2.845504,0.351707,0.0,1.255708,0.687142,0.0
-44.958869,399.576077,84.065048,0.849238,2.388368,0.023288,-10.0,-0.030259,4.951956,0.832379,181.230218,91.411279,0,-44.067064,401.933426,84.069925,0.965138,2.278912,-0.099518,0.0,1.182933,1.0,0.0
-44.326164,401.326966,84.355023,0.632705,1.750889,0.289975,-10.0,5.05974,-8.845007,1.377846,184.203879,91.217072,0,-43.738686,403.068509,84.643803,0.420452,1.620014,0.212652,0.0,1.127561,0.738582,0.0
-43.068385,404.745306,84.58885,1.257779,3.41834,0.233827,-10.0,6.478099,3.20095,1.547659,211.262802,90.934577,0,-41.74082,408.098164,84.774833,1.446035,3.423878,0.246564,0.0,1.318261,0.724048,0.0
-42.64042,407.35948,84.597944,0.427965,2.614174,0.009094,-10.0,3.848449,3.898554,2.375713,62.414494,90.702128,0,-42.198776,409.937453,84.593723,0.533628,2.655674,0.213426,0.0,1.229792,0.920544,0.0
-42.511386,410.033551,84.464532,0.129034,2.674071,-0.133412,-10.0,6.038578,0.878355,4.109096,41.341257,90.468103,0,-42.243163,412.627071,84.327407,0.047542,2.553677,-0.057387,0.0,1.244645,0.851672,0.0
-42.511547,414.228614,84.158333,-0.000161,4.195063,-0.306199,-10.0,6.62662,14.287588,1.314799,299.022987,90.157792,0,-42.506022,418.393951,83.866843,-0.063857,4.131252,-0.25185,0.0,1.412733,0.862303,0.0
-42.118946,417.085997,84.37608,0.392601,2.857383,0.217747,-10.0,3.645916,-4.223237,2.728329,166.564723,89.91317,0,-41.738304,419.984536,84.616138,0.411725,2.68042,0.246442,0.0,1.293585,0.769953,0.0
-42.493965,419.885162,84.486272,-0.375019,2.799165,0.110192,-10.0,3.921361,2.855896,7.702483,321.80133,89.671854,0,-42.848882,422.66695,84.617192,-0.117624,2.710237,0.067451,0.0,1.29904,0.648868,0.0
-42.094785,423.576834,84.676318,0.39918,3.691672,0.190046,-10.0,10.998796,1.89514,0.645552,65.375178,89.385951,0,-41.686578,427.400686,84.861292,0.408563,4.048105,0.249073,0.0,1.402508,0.790444,0.0
-42.207026,425.997552,84.37648,-0.112241,2.420718,-0.299838,-10.0,16.971923,18.415513,10.96394,336.372125,89.163861,0,-42.325936,428.47182,84.062072,0.058209,1.95657,-0.322826,0.0,1.285987,0.736896,0.0
-43.002797,428.221164,84.273225,-0.795771,2.223612,-0.103255,-10.0,9.718781,11.43127,1.190106,179.412398,88.945662,0,-43.849427,430.470609,84.149992,-0.828678,2.223752,-0.08743,0.0,1.289114,0.704583,0.0
-43.928807,431.510262,84.1801,-0.92601,3.289098,-0.093125,-10.0,15.580135,-1.873375,3.749874,13.15788,88.67475,0,-44.916849,434.740484,84.092067,-0.868042,3.238134,-0.108113,0.0,1.408086,0.792489,0.0
-45.273683,434.250859,84.077678,-1.344876,2.740597,-0.102422,-10.0,10.297003,10.530042,4.749994,9.754557,88.422024,0,-46.593535,436.938794,83.966489,-1.390719,2.90337,-0.196463,0.0,1.38435,0.755602,0.0
-45.277255,436.63114,83.840264,-0.003572,2.380281,-0.237414,-10.0,9.595216,8.145222,1.451593,4.680692,88.202419,0,-45.368483,439.049238,83.567525,0.245767,1.946305,-0.412761,0.0,1.329088,0.715045,0.0
-46.262603,439.302183,83.987101,-0.985348,2.671043,0.146837,-10.0,14.642693,7.598456,12.569261,50.168187,87.95988,0,-47.147672,442.009105,84.12221,-0.87996,2.995149,0.303887,0.0,1.387084,0.554926,0.0
-47.452196,442.492359,83.926271,-1.189593,3.190176,-0.06083,-10.0,11.262142,11.119222,0.194915,59.862013,87.689615,0,-48.681711,445.7496,83.843346,-1.0748,2.839461,0.147301,0.0,1.456049,0.744893,0.0
-48.611118,445.524035,83.471075,-1.158922,3.031676,-0.455196,-10.0,17.464079,17.693602,3.319574,120.327801,87.425745,0,-49.671289,448.553347,82.976929,-1.238998,3.131623,-0.401937,0.0,1.456453,0.636177,0.0
-50.87577,448.75819,83.04355,-2.264652,3.234155,-0.427525,-10.0,21.964665,26.368225,2.782631,314.260501,87.12718,0,-53.108774,451.916017,82.614577,-2.100955,3.260924,-0.382861,0.0,1.54077,0.724371,0.0
-52.430516,451.115093,83.046538,-1.554746,2.356903,0.002988,-10.0,22.938834,21.903667,0.862351,27.703153,86.886004,0,-53.964634,453.375512,83.033262,-1.346037,2.530456,0.031292,0.0,1.438051,0.637607,0.0
-53.715889,453.649298,83.107939,-1.285373,2.534205,0.061401,-10.0,15.094913,4.556657,1.86179,172.755223,86.643894,0,-54.96158,456.168485,83.14922,-1.486596,2.324023,-0.131967,0.0,1.452026,0.641694,0.0
-55.140081,455.991926,82.752502,-1.424192,2.342628,-0.355437,-10.0,25.99607,18.294194,13.560561,356.820705,86.405668,0,-56.590149,458.304607,82.410949,-1.548766,2.243434,-0.372249,0.0,1.456168,0.608624,0.0
-56.626649,458.850411,82.62572,-1.486568,2.858485,-0.126782,-10.0,19.796332,19.894751,2.452543,80.574341,86.144447,0,-58.084026,461.736071,82.526028,-1.656679,2.879432,-0.301637,0.0,1.51522,0.628244,0.0
-59.100819,460.667072,82.425326,-2.47417,1.816661,-0.200394,-10.0,20.68463,27.399041,5.468236,306.434489,85.890646,0,-61.508795,462.427143,82.183947,-2.38166,1.864666,-0.169838,0.0,1.51307,0.81811,0.0
-61.006149,463.158996,82.325825,-1.90533,2.491924,-0.099501,-10.0,23.326142,17.779267,6.073563,222.700096,85.633724,0,-62.886732,465.671832,82.236334,-1.950473,2.492607,-0.017726,0.0,1.532159,0.569402,0.0
-63.173352,465.562038,81.856542,-2.167203,2.403042,-0.469283,-10.0,25.745801,28.907722,8.875806,273.970045,85.370234,0,-65.331778,467.985505,81.3826,-2.248136,2.33045,-0.451819,0.0,1.558468,0.508447,0.0
-65.724112,467.539233,81.733472,-2.55076,1.977195,-0.12307,-10.0,28.898243,30.896601,2.151683,7.964479,85.10875,0,-68.295196,469.454935,81.605958,-2.421032,2.174657,-0.010885,0.0,1.56753,0.888006,0.0
-68.701022,469.277354,81.668341,-2.97691,1.738121,-0.065131,-10.0,27.197798,22.305196,1.062613,354.231953,84.83636,0,-71.674222,471.004005,81.626972,-3.045505,1.839222,-0.068024,0.0,1.602962,0.793355,0.0
-70.837325,471.311675,81.575164,-2.136303,2.034321,-0.093177,-10.0,25.811264,26.312387,5.160843,47.248156,84.588789,0,-73.011498,473.278083,81.474084,-2.284469,2.031463,-0.252318,0.0,1.565703,0.785185,0.0
-72.910115,472.71973,81.393395,-2.07279,1.408055,-0.181769,-10.0,26.496929,29.31533,2.906223,216.007397,84.363169,0,-74.984114,474.099234,81.205043,-2.153448,1.88846,-0.184029,0.0,1.533081,0.806677,0.0
-75.993021,474.154652,81.173104,-3.082906,1.434922,-0.220291,-10.0,33.845554,35.975177,3.115835,142.892379,84.092788,0,-79.098176,475.603349,80.93285,-2.72051,1.506507,-0.180964,0.0,1.636122,0.814269,0.0
-78.160732,475.494058,81.20858,-2.167711,1.339406,0.035476,-10.0,32.396835,26.180358,2.847899,189.504958,83.865369,0,-80.29751,476.889931,81.318182,-2.187037,1.152764,0.110809,0.0,1.56157,0.641749,0.0
-81.184767,476.744838,81.285681,-3.024035,1.25078,0.077101,-10.0,28.173704,37.971606,3.055518,267.374348,83.601699,0,-84.119761,477.913971,81.348463,-2.863935,1.286635,0.130387,0.0,1.647256,0.622241,0.0
-83.622926,477.950615,81.022306,-2.438159,1.205777,-0.263375,-10.0,37.001805,26.300073,4.241227,89.003187,83.365062,0,-86.118863,479.172354,80.768287,-2.455528,1.367236,-0.387952,0.0,1.605021,0.850141,0.0
-87.274237,478.676851,80.493137,-3.651311,0.726236,-0.529169,-10.0,32.397919,36.6954,4.033619,155.119509,83.077049,0,-90.864423,479.463813,79.961731,-3.57878,0.985984,-0.559499,0.0,1.722173,0.772568,0.0
-90.462586,479.418792,80.262708,-3.188349,0.741941,-0.230429,-10.0,35.971415,37.573198,3.006607,113.816198,82.812967,0,-93.657613,480.215025,79.979756,-2.600798,0.567714,-0.19009,0.0,1.687515,0.65421,0.0
-93.269408,479.664703,80.40255,-2.806822,0.245911,0.139842,-10.0,39.626898,40.26716,2.927657,249.345343,82.571915,0,-96.072855,479.920493,80.553623,-3.022154,0.379593,0.030883,0.0,1.653508,0.915029,0.0
-96.091071,480.590634,80.296191,-2.821663,0.925931,-0.106359,-10.0,34.9956,41.370101,4.292365,316.265602,82.323335,0,-98.876661,481.548335,80.222076,-2.873943,0.950031,-0.209227,0.0,1.680994,0.609463,0.0
-99.521078,481.641309,79.949213,-3.430007,1.050675,-0.346978,-10.0,42.363604,45.535303,2.609425,81.817066,82.043132,0,-102.985234,482.694941,79.630388,-3.520856,1.046688,-0.462652,0.0,1.75825,0.596599,0.0
-103.430518,482.93036,80.077625,-3.90944,1.289051,0.128412,-10.0,41.831039,41.992702,5.415298,343.988531,81.737208,0,-107.341643,484.171895,80.184273,-4.106295,1.483232,0.066668,0.0,1.824987,0.52718,0.0
-105.673153,483.29168,79.960323,-2.242635,0.36132,-0.117302,-10.0,46.98475,48.417116,0.685596,65.213766,81.523479,0,-107.96265,483.72287,79.841143,-2.358428,0.374058,-0.070106,0.0,1.651284,0.791902,0.0
-108.476052,482.974587,80.063871,-2.802899,-0.317093,0.103548,-10.0,44.449228,46.783391,4.796972,302.350069,81.282345,0,-111.238805,482.629471,80.212909,-2.968537,-0.269198,0.025347,0.0,1.718151,0.955482,0.0
-111.19626,482.282546,80.036073,-2.720208,-0.692041,-0.027798,-10.0,38.206304,42.464047,4.646847,8.509891,81.041995,0,-114.000733,481.606225,80.008224,-2.637299,-0.846501,-0.171359,0.0,1.7286,0.543508,0.0
-113.606675,481.960652,79.991552,-2.410415,-0.321894,-0.044521,-10.0,41.357884,38.029993,0.653511,30.83697,80.820384,0,-116.055042,481.64043,79.931485,-2.27014,-0.115682,-0.033667,0.0,1.702203,0.823513,0.0
-117.128062,480.723212,80.211522,-3.521387,-1.23744,0.21997,-10.0,41.27542,42.592569,11.308493,167.47402,80.533436,0,-120.645384,479.564945,80.423822,-3.258585,-1.480349,0.166579,0.0,1.847224,0.521274,0.0
-119.638417,479.994182,80.555755,-2.510355,-0.72903,0.344233,-10.0,46.615914,39.483451,1.749014,45.976854,80.301604,0,-122.183987,479.253208,80.902167,-2.368738,-0.89865,0.184131,0.0,1.748584,0.980507,0.0
-122.07871,479.099191,80.721704,-2.440293,-0.894991,0.165949,-10.0,47.135123,49.118848,3.329332,75.063785,80.071377,0,-124.53082,478.144804,80.878828,-2.647608,-0.632377,0.171003,0.0,1.756884,0.766393,0.0
-124.789291,479.27928,80.793073,-2.710581,0.180089,0.071369,-10.0,43.531624,46.17839,1.920211,143.51869,79.835502,0,-127.589992,479.427043,80.792236,-2.651927,0.236749,-0.007959,0.0,1.779974,0.816693,0.0
-128.025813,478.296431,80.801133,-3.236522,-0.982849,0.00806,-10.0,46.307477,43.378592,3.174157,20.801002,79.566378,0,-131.293731,477.314366,80.790976,-3.543382,-0.800362,0.058013,0.0,1.859929,0.974577,0.0
-130.820568,476.904616,81.15774,-2.794755,-1.391815,0.356607,-10.0,50.313678,49.815599,2.187943,297.913642,79.309256,0,-133.634902,475.512041,81.535925,-2.954044,-1.370046,0.244744,0.0,1.848782,0.65776,0.0
-134.42121,476.474535,81.089215,-3.600642,-0.430081,-0.068525,-10.0,46.76164,35.949552,3.230893,265.448548,79.027912,0,-138.011497,476.101571,80.99267,-3.920469,-0.511425,-0.077359,0.0,1.911293,0.835647,0.0
-136.358271,475.023298,81.428856,-1.937061,-1.451237,0.339641,-10.0,54.858681,53.893853,1.937998,54.06084,78.805707,0,-138.283483,473.549321,81.748436,-1.677298,-1.64742,0.20685,0.0,1.804125,0.832353,0.0
-139.045654,473.090587,81.672965,-2.687383,-1.932711,0.244109,-10.0,46.415608,44.465655,1.819352,95.416714,78.539748,0,-141.779318,471.189961,81.947689,-2.804054,-1.924992,0.389671,0.0,1.904931,0.939606,0.0
-141.121843,470.828145,81.938391,-2.076189,-2.262442,0.265426,-10.0,44.420214,47.612826,4.987644,133.980129,78.28564,0,-143.222222,468.54913,82.209078,-2.109101,-2.530553,0.356726,0.0,1.893933,0.759989,0.0
-142.981259,468.469447,82.378771,-1.859416,-2.358698,0.44038,-10.0,51.192583,51.155398,2.984661,279.521081,78.03386,0,-144.844969,466.151383,82.833599,-1.85332,-2.657085,0.489824,0.0,1.901866,0.822277,0.001476
-144.621339,465.45656,82.594166,-1.64008,-3.012887,0.215395,-10.0,51.201819,49.910232,10.53868,229.064887,77.762004,0,-146.219997,462.397338,82.84176,-1.724643,-2.960754,0.075344,0.0,1.955611,0.743683,0.0
-146.950613,462.731884,82.849551,-2.329274,-2.724676,0.255385,-10.0,48.41781,42.68172,8.67729,273.956674,77.48232,0,-149.384593,460.036661,83.113404,-2.669044,-2.433237,0.423494,0.0,1.985253,0.614179,0.0
-149.198043,460.552035,82.88027,-2.24743,-2.179849,0.030719,-10.0,55.66386,65.731387,12.942019,208.794163,77.225766,0,-151.476712,458.413578,82.910813,-1.984948,-1.956669,-0.034207,0.0,1.951819,0.744489,0.0
-152.429832,458.586928,82.987889,-3.231789,-1.965107,0.107619,-10.0,51.494369,58.101771,1.52905,31.896155,76.936572,0,-155.715455,456.60434,83.102049,-3.002307,-2.025952,0.227483,0.0,2.031559,0.565747,0.0
-153.979982,455.426684,82.941141,-1.55015,-3.160244,-0.046748,-10.0,49.712779,48.67217,2.147883,107.541206,76.660559,0,-155.539737,452.335966,82.866608,-1.560478,-3.119106,-0.084593,0.0,2.018999,0.467924,0.0
-155.12952,453.277787,83.192531,-1.149538,-2.148897,0.25139,-10.0,46.966836,43.214602,1.226274,270.495031,76.43806,0,-156.290113,451.086877,83.42085,-1.210304,-1.835276,0.198782,0.0,1.923095,0.770002,0.0
-157.165816,449.781643,83.158123,-2.036296,-3.496144,-0.034408,-10.0,47.477899,50.062573,4.012848,337.256086,76.135756,0,-159.257631,446.313853,83.090385,-1.553337,-3.480145,0.000382,0.0,2.097819,0.652056,0.0
-158.717457,446.825757,83.444413,-1.551641,-2.955886,0.28629,-10.0,49.738388,58.630616,2.302065,188.420728,75.868224,0,-160.310549,443.806555,83.729253,-1.641317,-2.553884,0.463276,0.0,2.041653,0.651204,0.0
-159.882969,444.775872,83.602695,-1.165512,-2.049885,0.158282,-10.0,46.609879,50.882818,1.925888,72.490962,75.650056,0,-161.120788,442.730737,83.751965,-1.063229,-1.98639,0.15509,0.0,1.953834,0.758881,0.0
-160.904823,442.411357,83.540599,-1.021854,-2.364515,-0.062096,-10.0,41.837549,43.56595,3.319417,295.957138,75.421225,0,-161.858255,440.106249,83.491923,-0.868776,-2.40288,-0.184007,0.0,1.986601,0.7614,0.0
-161.498641,439.973454,83.572031,-0.593818,-2.437903,0.031432,-10.0,44.527524,47.539245,2.69363,50.65615,75.195756,0,-162.102436,437.477392,83.585069,-0.553084,-2.399598,0.055556,0.0,1.99115,0.808464,0.0
-162.144278,437.053621,83.901982,-0.645637,-2.919833,0.329951,-10.0,44.484696,46.735968,8.56797,317.493993,74.94533,0,-162.778718,434.09352,84.246844,-0.591443,-2.858994,0.510738,0.0,2.053585,0.729342,0.0
-163.754304,434.038331,84.2456,-1.610026,-3.01529,0.343618,-10.0,40.681497,37.033656,3.103433,120.674897,74.673558,0,-165.397465,430.921558,84.608307,-1.358614,-3.31898,0.468003,0.0,2.109866,0.73576,0.0
-164.220357,431.145572,84.383907,-0.466053,-2.892759,0.138307,-10.0,39.511432,46.150821,1.681231,247.077791,74.426892,0,-164.635784,428.156007,84.525359,-0.260317,-3.156109,0.210668,0.0,2.071988,0.830378,0.0
-164.139698,428.300848,84.558561,0.080659,-2.844724,0.174654,-10.0,41.582194,42.719986,1.40906,165.728978,74.184331,0,-164.068416,425.408996,84.727669,0.164996,-2.931769,0.249713,0.0,2.075906,0.786499,0.0
-163.882412,425.043307,84.715328,0.257286,-3.257541,0.156767,-10.0,29.081166,24.387074,2.431719,253.326952,73.920759,0,-163.586165,421.838271,84.850496,0.342948,-3.077714,0.247014,0.0,2.131106,0.775318,0.0
-164.244244,422.085098,84.626862,-0.361832,-2.958209,-0.088466,-10.0,33.627988,42.269472,1.774994,215.632263,73.671681,0,-164.696577,419.092493,84.575248,-0.432234,-2.781048,-0.065465,0.0,2.114573,0.972893,0.0
-163.520537,419.96201,84.408948,0.723707,-2.123088,-0.217914,-10.0,29.960723,33.635577,5.790816,37.520929,73.459001,0,-162.766273,417.953467,84.19371,0.702601,-2.159959,-0.261873,0.0,2.052411,0.506293,0.0
-164.291967,417.199533,84.126071,-0.77143,-2.762477,-0.282877,-10.0,23.98619,31.848655,1.516354,1.982088,73.214897,0,-165.04453,414.428031,83.823714,-0.810297,-2.939721,-0.256011,0.0,2.127463,0.775977,0.0
-163.889715,414.765967,83.991897,0.402252,-2.433566,-0.134174,-10.0,24.556358,34.055472,1.915775,151.858144,72.991385,0,-163.514581,412.339643,83.842353,0.260595,-2.365003,-0.217404,0.0,2.097454,0.543459,0.0
-163.483618,412.579308,83.820414,0.406097,-2.186659,-0.171483,-10.0,13.806059,16.357556,4.837524,244.321184,72.779853,0,-163.058445,410.42448,83.650389,0.25714,-2.526078,-0.23604,0.0,2.084072,1.0,0.0
-163.757169,410.029923,83.899999,-0.273551,-2.549385,0.079585,-10.0,12.637464,6.632992,7.8844,249.297418,72.55159,0,-163.959048,407.506942,83.991801,-0.637412,-2.688022,-0.103981,0.0,2.128946,0.821179,0.0
-162.516399,406.659757,84.087599,1.24077,-3.370166,0.1876,-10.0,8.78421,8.709414,2.721259,320.434933,72.27178,0,-161.346263,403.350257,84.271434,1.098019,-3.148105,0.06926,0.0,2.246032,0.585924,0.0
-160.577003,403.598063,83.953391,1.939396,-3.061694,-0.134208,-10.0,1.920394,-3.496225,1.162711,181.963842,71.990443,0,-158.655357,400.531697,83.824907,1.987311,-2.880909,-0.288175,0.0,2.263152,0.615567,0.0
-160.46255,400.912269,83.577357,0.114453,-2.685794,-0.376034,-10.0,-1.298447,-9.335799,9.266728,158.558886,71.754723,0,-160.345042,398.251173,83.225359,-0.250492,-2.720167,-0.48685,0.0,2.183704,0.668708,0.034932
-159.045289,398.644702,83.815958,1.417261,-2.267567,0.238601,-10.0,-6.468939,-4.732542,7.173661,142.249588,71.52049,0,-157.539571,396.359046,84.061562,1.284164,-2.092934,0.226139,0.0,2.192442,0.593106,0.0
-157.444478,396.121975,83.859572,1.600811,-2.522727,0.043614,-10.0,-12.466138,0.574157,0.818159,274.247349,71.271086,0,-155.783968,393.582403,83.913554,1.899195,-2.289566,0.023169,0.0,2.235254,0.758372,0.0
-154.741599,393.641313,84.075046,2.702879,-2.480662,0.215474,-10.0,-4.561391,-9.007876,2.748051,249.311675,70.987336,0,-152.072919,391.13387,84.311935,2.805887,-2.33753,0.257612,0.0,2.318134,0.688635,0.0
-152.487249,391.436762,83.980422,2.25435,-2.204551,-0.094624,-10.0,-15.11443,-17.166548,1.71916,27.95376,70.729609,0,-150.22756,389.225473,83.886553,2.376071,-2.297205,-0.116568,0.0,2.278973,0.90728,0.0
-150.791022,389.067458,83.756822,1.696227,-2.369304,-0.2236,-10.0,-12.99049,-10.043591,1.816388,83.658356,70.483486,0,-149.063126,386.621114,83.529909,1.712007,-2.364676,-0.388892,0.0,2.268072,0.882664,0.0
-148.719425,386.753147,83.761377,2.071597,-2.314311,0.004555,-10.0,-12.137527,-6.801766,12.772069,25.83929,70.228183,0,-146.635999,384.507321,83.737041,2.084651,-2.462072,0.093546,0.0,2.299196,0.468238,0.0
-146.53424,384.059169,83.437052,2.185185,-2.693978,-0.324325,-10.0,-17.42089,-19.851216,3.3732,254.511535,69.953987,0,-144.373465,381.416562,83.096133,2.153266,-2.504984,-0.346951,0.0,2.350693,0.818647,0.0
-143.417385,382.726937,82.971435,3.116855,-1.332232,-0.465617,-10.0,-13.800486,-13.353337,4.871759,347.777102,69.682914,0,-140.322435,381.401694,82.516016,3.09186,-1.898736,-0.463928,0.0,2.358001,0.584324,0.0
-141.890528,380.010969,83.019549,1.526857,-2.715968,0.048114,-10.0,-19.801723,-16.034214,2.573284,76.31786,69.427109,0,-140.283558,377.2579,83.057214,1.781776,-2.553956,0.155631,0.0,2.340255,0.616623,0.0
-139.944534,378.213316,82.794069,1.945994,-1.797653,-0.22548,-10.0,-19.582503,-29.47673,1.540689,40.144396,69.194168,0,-138.009442,376.283722,82.588063,1.464016,-1.813128,-0.223978,0.0,2.306173,0.820674,0.0
-136.51714,376.546328,82.813988,3.427394,-1.666988,0.019919,-10.0,-17.334134,-25.368403,1.792566,187.666577,68.903601,0,-133.076967,374.928773,82.80012,3.561438,-1.531595,-0.207431,0.0,2.435953,0.663037,0.0
-134.102814,374.522704,82.470722,2.414326,-2.023624,-0.343266,-10.0,-20.982715,-23.311386,9.7796,20.824002,68.645157,0,-131.721594,372.46919,82.135926,2.21549,-1.94497,-0.201967,0.0,2.384631,0.713649,0.0
-132.1683,373.78692,82.061628,1.934514,-0.735784,-0.409094,-10.0,-20.138476,-19.217005,6.039408,330.294904,68.439669,0,-130.241577,373.053029,81.667148,1.935274,-1.061048,-0.462088,0.0,2.288992,0.748003,0.0
-129.82056,373.486938,81.518168,2.34774,-0.299982,-0.54346,-10.0,-19.582761,-18.679266,2.079427,160.39499,68.218248,0,-127.494008,373.106089,80.956791,2.379151,-0.267433,-0.539322,0.0,2.33193,0.817887,0.0
-127.08432,372.513692,81.348793,2.73624,-0.973246,-0.169375,-10.0,-19.957977,-25.986343,1.043375,89.042514,67.972793,0,-124.269967,371.571371,81.174232,2.861965,-1.227125,-0.238942,0.0,2.392271,0.661753,0.0
